Proj. Date,Product,Line,NewBuss,Amount,,Real Estate C1,,TSC1CS
2026-02-28 00:00:00,Hospital Indemnity,TSLR016,N,1690.8518,,,,
2026-02-28 00:00:00,HSA,TSC1,E,3110625.5903,,,,
2026-02-28 00:00:00,HSA,TSC1,N,250587.8915,,,,
2026-02-28 00:00:00,HSA,TSC1cs,E,4222729.571941391,,,,
2026-02-28 00:00:00,HSA,TSC1cs,N,368934.353,,,,
2026-02-28 00:00:00,HSA,TSC3,E,2500851.34005,,,,
2026-02-28 00:00:00,HSA,TSC3,N,201465.28285,,,,
2026-02-28 00:00:00,Legacy Life,TSC1,E,1017504.4016111996,,,,
2026-02-28 00:00:00,Legacy Life,TSC2,E,577702.7116920202,,,,
2026-02-28 00:00:00,Legacy Life,TSC3,E,501115.0585394918,,,,
2026-02-28 00:00:00,Legacy Life,TSC4a,E,213135.94914866483,,,,
2026-02-28 00:00:00,Legacy Life,TSLR016,E,102469.11632464851,,,,
2026-02-28 00:00:00,LTC,TSC1,E,92083.03053036633,,,,
2026-02-28 00:00:00,LTC,TSC2,E,645599.4644199602,,,,
2026-02-28 00:00:00,LTC,TSC3,E,12300.0863101736,,,,
2026-02-28 00:00:00,LTC,TSC4a,E,14365.966216770004,,,,
2026-02-28 00:00:00,LTC,TSLR016,E,714078.4635353755,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC1,E,1257428.8298999998,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC1,N,149642.2314,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC2,E,27149207.07576501,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC2,N,661550.842,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC3,E,253162.96114116037,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC4a,E,2471465.7398999995,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC4a,N,66503.7639,,,,
2026-02-28 00:00:00,Medicare Supplement,TSC4b,E,197600,,,,
2026-02-28 00:00:00,Medicare Supplement,TSLR016,E,68218.1676,,,,
2026-02-28 00:00:00,MWH,TSC1,E,4367182.881816086,,,,
2026-02-28 00:00:00,MWH,TSC3,E,360076.0141624824,,,,
2026-02-28 00:00:00,NLG,TSC1,E,2180570.0155338263,,,,
2026-02-28 00:00:00,NLG,TSC2,E,8551103.897047507,,,,
2026-02-28 00:00:00,NLG,TSC3,E,302392.249618356,,,,
2026-02-28 00:00:00,Other Health,TSC1,E,582309.6396000001,,,,
2026-02-28 00:00:00,Other Health,TSC2,E,2646635.3421,,,,
2026-02-28 00:00:00,Other Health,TSC3,E,114387.46344757506,,,,
2026-02-28 00:00:00,Other Health,TSC4a,E,39767.568699999996,,,,
2026-02-28 00:00:00,Other Health,TSLR016,E,84827.62969999999,,,,
2026-02-28 00:00:00,PreNeed,TSC1,E,18934524.863999996,,,,
2026-02-28 00:00:00,PreNeed,TSC1,N,237072.1648,,,,
2026-02-28 00:00:00,PreNeed,TSC2,E,1620921.3714,,,,
2026-02-28 00:00:00,PreNeed,TSC2,N,28357.8439,,,,
2026-02-28 00:00:00,PreNeed,TSC3,E,6239210.124005331,,,,
2026-02-28 00:00:00,PreNeed,TSC3,N,75684.91165,,,,
2026-02-28 00:00:00,PreNeed,TSC4a,E,4073060.388216111,,,,
2026-02-28 00:00:00,PreNeed,TSC4a,N,445772.1589,,,,
2026-02-28 00:00:00,STC,TSC1,E,447.0297,,,,
2026-02-28 00:00:00,STC,TSC2,E,133787.0482,,,,
2026-02-28 00:00:00,STC,TSC2,N,2285.2559,,,,
2026-02-28 00:00:00,STC,TSC4a,E,4662.7887,,,,
2026-02-28 00:00:00,STC,TSC4a,N,79.6464,,,,
2026-02-28 00:00:00,STC,TSLR016,E,60.0048,,,,
2026-03-31 00:00:00,AHL,TSC2,E,24387.189999318132,,,,
2026-03-31 00:00:00,Cancer,TSC1,E,111264.7011,,,,
2026-03-31 00:00:00,Cancer,TSC1,N,180.114,,,,
2026-03-31 00:00:00,Cancer,TSC2,E,880669.8075251724,,,,
2026-03-31 00:00:00,Cancer,TSC2,N,2091.552,,,,
2026-03-31 00:00:00,Cancer,TSC3,E,28596.865861893766,,,,
2026-03-31 00:00:00,Cancer,TSC4a,E,29043.137600000002,,,,
2026-03-31 00:00:00,Cancer,TSC4a,N,72.5395,,,,
2026-03-31 00:00:00,Cancer,TSLR016,E,16208.4226,,,,
2026-03-31 00:00:00,Cancer,TSLR016,N,26.2379,,,,
2026-03-31 00:00:00,Dental,TSC1,E,51388.480500000005,,,,
2026-03-31 00:00:00,Dental,TSC1,N,917.1526,,,,
2026-03-31 00:00:00,Dental,TSC2,E,934437.4187,,,,
2026-03-31 00:00:00,Dental,TSC2,N,7732.477,,,,
2026-03-31 00:00:00,Dental,TSC3,E,11301.08527217505,,,,
2026-03-31 00:00:00,Dental,TSC4a,E,101724.5797,,,,
2026-03-31 00:00:00,Dental,TSC4a,N,841.7708,,,,
2026-03-31 00:00:00,Dental,TSLR016,E,7485.987800000001,,,,
2026-03-31 00:00:00,Dental,TSLR016,N,133.6058,,,,
2026-03-31 00:00:00,FHLB,TSC0,E,1821181.5125475791,,,,
2026-03-31 00:00:00,FHLB,TSC1,E,1425389.3966672658,,,,
2026-03-31 00:00:00,Final Expense,TSC1,E,0,,,,
2026-03-31 00:00:00,Final Expense,TSC2,E,0,,,,
2026-03-31 00:00:00,Final Expense,TSC3,E,0,,,,
2026-03-31 00:00:00,Final Expense,TSC4a,E,831766.3664,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC1,E,219278.5451,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC1,N,13252.4238,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC2,E,1717597.5525,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC2,N,56232.2747,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC3,E,41902.88466496725,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC4a,E,234482.7726,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSC4a,N,7676.7106,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSLR016,E,31943.2785,,,,
2026-03-31 00:00:00,Hospital Indemnity,TSLR016,N,1930.5394,,,,
2026-03-31 00:00:00,HSA,TSC1,E,3083473.5732,,,,
2026-03-31 00:00:00,HSA,TSC1,N,310378.6097,,,,
2026-03-31 00:00:00,HSA,TSC1cs,E,4160746.086726333,,,,
2026-03-31 00:00:00,HSA,TSC1cs,N,454567.4789,,,,
2026-03-31 00:00:00,HSA,TSC3,E,2442885.6033,,,,
2026-03-31 00:00:00,HSA,TSC3,N,245897.82245,,,,
2026-03-31 00:00:00,Legacy Life,TSC1,E,1008348.7848675237,,,,
2026-03-31 00:00:00,Legacy Life,TSC2,E,573044.5838258932,,,,
2026-03-31 00:00:00,Legacy Life,TSC3,E,496605.97001544485,,,,
2026-03-31 00:00:00,Legacy Life,TSC4a,E,211294.91790306594,,,,
2026-03-31 00:00:00,Legacy Life,TSLR016,E,101622.49229661294,,,,
2026-03-31 00:00:00,LTC,TSC1,E,90763.0735409163,,,,
2026-03-31 00:00:00,LTC,TSC2,E,620679.305689739,,,,
2026-03-31 00:00:00,LTC,TSC3,E,12158.617035896079,,,,
2026-03-31 00:00:00,LTC,TSC4a,E,13775.123023214934,,,,
2026-03-31 00:00:00,LTC,TSLR016,E,705865.4998645433,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC1,E,1259799.7262999997,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC1,N,169302.8092,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC2,E,27636209.796078403,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC2,N,1145182.2406999997,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC3,E,253162.96114116037,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC4a,E,2500437.2728999993,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC4a,N,109410.95880000001,,,,
2026-03-31 00:00:00,Medicare Supplement,TSC4b,E,197600,,,,
2026-03-31 00:00:00,Medicare Supplement,TSLR016,E,65720.0619,,,,
2026-03-31 00:00:00,MWH,TSC1,E,4345890.106272559,,,,
2026-03-31 00:00:00,MWH,TSC3,E,358320.4161132014,,,,
2026-03-31 00:00:00,NLG,TSC1,E,2286199.4057609034,,,,
2026-03-31 00:00:00,NLG,TSC2,E,8530334.735607652,,,,
2026-03-31 00:00:00,NLG,TSC3,E,318066.06489575136,,,,
2026-03-31 00:00:00,Other Health,TSC1,E,582527.3972,,,,
2026-03-31 00:00:00,Other Health,TSC2,E,2636652.7449,,,,
2026-03-31 00:00:00,Other Health,TSC3,E,114387.46344757506,,,,
2026-03-31 00:00:00,Other Health,TSC4a,E,39421.3522,,,,
2026-03-31 00:00:00,Other Health,TSLR016,E,84859.3512,,,,
2026-03-31 00:00:00,PreNeed,TSC1,E,19045126.132700004,,,,
2026-03-31 00:00:00,PreNeed,TSC1,N,389372.9031,,,,
2026-03-31 00:00:00,PreNeed,TSC2,E,1607788.6583,,,,
2026-03-31 00:00:00,PreNeed,TSC2,N,46917.6933,,,,
2026-03-31 00:00:00,PreNeed,TSC3,E,6219032.076701483,,,,
2026-03-31 00:00:00,PreNeed,TSC3,N,123155.12315,,,,
2026-03-31 00:00:00,PreNeed,TSC4a,E,3841033.260811454,,,,
2026-03-31 00:00:00,PreNeed,TSC4a,N,736130.6839000001,,,,
2026-03-31 00:00:00,STC,TSC1,E,613.1194,,,,
2026-03-31 00:00:00,STC,TSC2,E,138248.013,,,,
2026-03-31 00:00:00,STC,TSC2,N,4453.8402,,,,
2026-03-31 00:00:00,STC,TSC4a,E,4818.2633,,,,
2026-03-31 00:00:00,STC,TSC4a,N,155.2266,,,,
2026-03-31 00:00:00,STC,TSLR016,E,82.2988,,,,
2026-04-30 00:00:00,AHL,TSC2,E,28678.9315105853,,,,
2026-04-30 00:00:00,Cancer,TSC1,E,111117.52429999999,,,,
2026-04-30 00:00:00,Cancer,TSC1,N,175.9636,,,,
2026-04-30 00:00:00,Cancer,TSC2,E,882671.8475783485,,,,
2026-04-30 00:00:00,Cancer,TSC2,N,2763.7604,,,,
2026-04-30 00:00:00,Cancer,TSC3,E,28596.865861893766,,,,
2026-04-30 00:00:00,Cancer,TSC4a,E,28877.7536,,,,
2026-04-30 00:00:00,Cancer,TSC4a,N,95.8526,,,,
2026-04-30 00:00:00,Cancer,TSLR016,E,16186.9837,,,,
2026-04-30 00:00:00,Cancer,TSLR016,N,25.6333,,,,
2026-04-30 00:00:00,Dental,TSC1,E,51207.3613,,,,
2026-04-30 00:00:00,Dental,TSC1,N,1095.449,,,,
2026-04-30 00:00:00,Dental,TSC2,E,926579.0737,,,,
2026-04-30 00:00:00,Dental,TSC2,N,11664.8974,,,,
2026-04-30 00:00:00,Dental,TSC3,E,11301.08527217505,,,,
2026-04-30 00:00:00,Dental,TSC4a,E,100869.1052,,,,
2026-04-30 00:00:00,Dental,TSC4a,N,1269.8624,,,,
2026-04-30 00:00:00,Dental,TSLR016,E,7459.603700000001,,,,
2026-04-30 00:00:00,Dental,TSLR016,N,159.5786,,,,
2026-04-30 00:00:00,FHLB,TSC0,E,1821190.268821368,,,,
2026-04-30 00:00:00,FHLB,TSC1,E,1425408.5846614463,,,,
2026-04-30 00:00:00,Final Expense,TSC1,E,0,,,,
2026-04-30 00:00:00,Final Expense,TSC2,E,0,,,,
2026-04-30 00:00:00,Final Expense,TSC3,E,0,,,,
2026-04-30 00:00:00,Final Expense,TSC4a,E,819980.8856,,,,
2026-04-30 00:00:00,Hospital Indemnity,TSC1,E,218326.0373,,,,
2026-04-30 00:00:00,Hospital Indemnity,TSC1,N,15225.5328,,,,
2026-04-30 00:00:00,Hospital Indemnity,TSC2,E,1718667.7715,,,,
2026-04-30 00:00:00,Hospital Indemnity,TSC2,N,81084.0759,,,,
